Database,EndDate,NullDataPoints,RepeatedPoints,StartDate,SCN,Site,Station,Date,Direction,Lane,Speed,Headway,Occupancy,Vehicles,Motorbikes,Cars,Trailers,Rigids,HGVs,Buses
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:05:43,1,1,34,1676,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:07:42,1,1,31,549,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:13:42,1,1,22,904,0,2,1,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:17:43,1,1,50,2264,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:19:43,1,1,50,2264,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:23:43,1,1,30,692,0,4,0,4,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:25:43,1,1,30,692,0,4,0,4,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:27:43,1,1,76,3158,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:33:43,1,1,31,1596,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:37:42,1,1,35,1231,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:43:42,1,1,29,1626,0,3,0,3,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:47:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 00:57:43,1,1,34,7000,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:03:42,1,1,29,2397,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:07:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:13:42,1,1,34,2119,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:17:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:19:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:23:43,1,1,25,5187,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:27:43,1,1,40,4550,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:33:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:37:42,1,1,34,2167,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:43:42,1,1,27,3581,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:47:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:51:42,1,1,24,5575,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 01:57:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:03:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:07:42,1,1,29,17472,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:13:42,1,1,35,2755,0,1,255,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:17:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:19:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:23:43,1,1,34,3798,0,1,158,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:25:43,1,1,34,3798,0,1,158,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:27:43,1,1,31,3068,0,1,215,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:33:43,1,1,0,0,0,0,133,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:37:42,1,1,32,8392,0,1,244,1,0,0,0,0
